NaN,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30
-0.049958,-2.0849,-2.2317,-2.377,-2.5184,-2.6536,-2.7806,-2.8979,-3.0043,-3.0994,-3.183,-3.2554,-3.3171,-3.369,-3.4117,-3.4462,-3.4735,-3.4944,-3.5096,-3.5198,-3.5253,-3.5266,-3.5237,-3.5165,-3.5048,-3.488,-3.4655,-3.4365,-3.4001,-3.3553,-3.3011,-3.2364,-3.1607,-3.0734,-2.9745,-2.8645,-2.7439,-2.6137,-2.4752,-2.3294,-2.1778,-2.0218,-1.8628,-1.702,-1.5405,-1.3791,-1.2187,-1.0596,-0.90214,-0.74634,-0.59216,-0.43942,-0.28785,-0.13716,0.013008,NaN,NaN,NaN,NaN,NaN
-0.039979,-1.4964,-1.6209,-1.744,-1.8638,-1.9781,-2.0853,-2.184,-2.2733,-2.3527,-2.422,-2.4816,-2.5319,-2.5736,-2.6073,-2.6341,-2.6546,-2.6698,-2.6805,-2.6874,-2.6911,-2.6921,-2.6909,-2.6878,-2.6829,-2.6763,-2.6678,-2.6572,-2.6441,-2.6279,-2.6079,-2.5833,-2.5532,-2.5166,-2.4723,-2.4193,-2.3567,-2.2836,-2.1995,-2.1043,-1.9984,-1.8827,-1.7584,-1.627,-1.4898,-1.3481,-1.2033,-1.0564,-0.90824,-0.75947,-0.61058,-0.46189,-0.31357,-0.16564,-0.017997,NaN,NaN,NaN,NaN,NaN
-0.029991,-0.88648,-0.98894,-1.0902,-1.1886,-1.2825,-1.3702,-1.4508,-1.5234,-1.5876,-1.6434,-1.6908,-1.7304,-1.7627,-1.7882,-1.8076,-1.8218,-1.8313,-1.8369,-1.8391,-1.8386,-1.8358,-1.8311,-1.825,-1.8176,-1.8093,-1.8,-1.7899,-1.7789,-1.7669,-1.7537,-1.739,-1.7225,-1.7037,-1.6822,-1.6573,-1.6284,-1.5949,-1.556,-1.5113,-1.4601,-1.4019,-1.3366,-1.2637,-1.1834,-1.0957,-1.001,-0.9002,-0.79407,-0.68365,-0.56997,-0.45401,-0.33664,-0.21856,-0.10022,NaN,NaN,NaN,NaN,NaN
-0.019997,-0.18448,-0.26958,-0.35368,-0.43536,-0.51317,-0.58585,-0.65246,-0.71234,-0.76515,-0.81083,-0.84951,-0.8815,-0.90725,-0.92726,-0.94211,-0.95237,-0.9586,-0.96135,-0.96113,-0.95838,-0.95351,-0.94688,-0.93877,-0.92942,-0.91903,-0.90774,-0.89564,-0.8828,-0.86925,-0.85497,-0.83993,-0.82405,-0.80726,-0.78944,-0.77047,-0.75022,-0.72855,-0.70533,-0.68045,-0.65383,-0.62538,-0.59506,-0.56279,-0.52852,-0.49215,-0.4536,-0.41282,-0.36978,-0.32454,-0.27725,-0.22815,-0.17767,-0.12628,-0.074469,NaN,NaN,NaN,NaN,NaN
-0.0099997,0.56869,0.50794,0.44795,0.38977,0.33445,0.28288,0.23573,0.1934,0.1561,0.12382,0.096414,0.073595,0.054997,0.040199,0.028752,0.020204,0.01412,0.010096,0.0077729,0.0068491,0.0070858,0.0083163,0.010451,0.01348,0.017481,0.022616,0.029135,0.037372,0.047737,0.060711,0.07683,0.09666,0.12077,0.14971,0.18392,0.22372,0.26921,0.32016,0.37596,0.43546,0.49685,0.55789,0.61653,0.6712,0.72096,0.76544,0.80474,0.83931,0.86988,0.89727,0.92238,0.94609,0.96915,NaN,NaN,NaN,NaN,NaN,NaN
0,2.2091,2.099,1.9902,1.8847,1.7842,1.6903,1.6042,1.5265,1.4575,1.3973,1.3456,1.3018,1.2653,1.2356,1.2116,1.1929,1.1786,1.1681,1.1607,1.1561,1.1536,1.153,1.1541,1.1564,1.16,1.1647,1.1704,1.1771,1.1847,1.1932,1.2026,1.2126,1.2232,1.2341,1.245,1.2556,1.2656,1.2748,1.2828,1.2897,1.2954,1.3,1.3037,1.3066,1.3088,1.3107,1.3123,1.3138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0099997,3.186,3.0633,2.9423,2.825,2.7137,2.6101,2.5158,2.4315,2.3577,2.2944,2.2413,2.1979,2.1636,2.1376,2.1189,2.1069,2.1006,2.0992,2.1022,2.1087,2.1183,2.1304,2.1445,2.1603,2.1774,2.1954,2.2141,2.2331,2.2523,2.2712,2.2897,2.3074,2.324,2.3393,2.3531,2.365,2.3749,2.3829,2.3888,2.3931,2.3961,2.3982,2.3999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.019997,4.6274,4.4734,4.3215,4.1742,4.0344,3.9044,3.7859,3.68,3.5872,3.5075,3.4406,3.3858,3.3421,3.3086,3.2843,3.268,3.2587,3.2553,3.2571,3.2632,3.2728,3.2853,3.3003,3.3172,3.3357,3.3556,3.3766,3.3985,3.4211,3.4443,3.4681,3.4923,3.5169,3.5417,3.5667,3.5919,3.6171,3.6424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.029991,6.2958,6.0922,5.8911,5.6963,5.5114,5.3393,5.1824,5.042,4.9188,4.8129,4.7237,4.6504,4.5917,4.5464,4.5129,4.4899,4.476,4.4698,4.47,4.4757,4.4857,4.4993,4.5158,4.5344,4.5547,4.5762,4.5986,4.6216,4.645,4.6685,4.6922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.039979,7.8727,7.6295,7.3894,7.1569,6.9362,6.731,6.544,6.377,6.2306,6.105,5.9993,5.9125,5.843,5.7892,5.7491,5.7209,5.7027,5.6928,5.6894,5.6912,5.6967,5.7048,5.7145,5.725,5.736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
