NaN,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30
-0.049958,-0.093398,-0.16752,-0.24078,-0.31195,-0.37981,-0.44332,-0.50166,-0.55431,-0.60101,-0.6417,-0.67652,-0.70575,-0.72977,-0.74903,-0.764,-0.77519,-0.78309,-0.78814,-0.79078,-0.79139,-0.79032,-0.78787,-0.78428,-0.77976,-0.77448,-0.76857,-0.76213,-0.75523,-0.7479,-0.74016,-0.73201,-0.72342,-0.71437,-0.7048,-0.69466,-0.68388,-0.6724,-0.66015,-0.64707,-0.63311,-0.61821,-0.60236,-0.58556,-0.56784,-0.54927,-0.52995,-0.50999,-0.48951,-0.46861,-0.44738,-0.42591,-0.40427,-0.3825,-0.36066,NaN,NaN,NaN,NaN,NaN
-0.039979,0.075143,0.0061288,-0.062065,-0.12831,-0.19145,-0.2505,-0.3047,-0.35358,-0.39687,-0.43453,-0.46668,-0.49359,-0.51561,-0.53315,-0.54667,-0.55663,-0.56348,-0.56765,-0.56954,-0.56951,-0.56788,-0.56493,-0.56089,-0.55597,-0.55032,-0.54408,-0.53733,-0.53016,-0.52261,-0.51471,-0.50648,-0.4979,-0.48897,-0.47966,-0.46993,-0.45975,-0.44907,-0.43784,-0.426,-0.41351,-0.40034,-0.38644,-0.37181,-0.35645,-0.3404,-0.3237,-0.30643,-0.28863,-0.27039,-0.25179,-0.23288,-0.21377,-0.19453,-0.17522,NaN,NaN,NaN,NaN,NaN
-0.029991,0.25901,0.1942,0.13016,0.067943,0.0086239,-0.046875,-0.097856,-0.14386,-0.18464,-0.22017,-0.25056,-0.27606,-0.29698,-0.31372,-0.32669,-0.33631,-0.343,-0.34713,-0.34907,-0.34913,-0.34759,-0.34466,-0.34054,-0.33538,-0.32928,-0.32232,-0.31456,-0.30603,-0.29675,-0.28675,-0.27603,-0.26463,-0.2526,-0.24,-0.2269,-0.21338,-0.19952,-0.1854,-0.1711,-0.1567,-0.14226,-0.12785,-0.11354,-0.099388,-0.085439,-0.071738,-0.058314,-0.045177,-0.032321,-0.019722,-0.0073416,0.0048691,0.016965,0.028998,NaN,NaN,NaN,NaN,NaN
-0.019997,0.44679,0.39048,0.33488,0.28094,0.22963,0.18178,0.13802,0.098759,0.064205,0.034387,0.0091889,-0.011617,-0.028343,-0.041353,-0.051043,-0.057821,-0.062088,-0.064233,-0.064619,-0.06358,-0.061417,-0.058396,-0.054747,-0.050666,-0.046311,-0.041808,-0.037246,-0.032679,-0.028128,-0.023573,-0.018958,-0.014184,-0.009111,-0.0035541,0.0027162,0.0099731,0.018531,0.02874,0.040974,0.05562,0.073055,0.093617,0.11758,0.14508,0.17611,0.21041,0.24744,0.28629,0.32604,0.36593,0.4055,0.44458,0.48321,0.52156,NaN,NaN,NaN,NaN,NaN
-0.0099997,0.59043,0.53634,0.48288,0.43091,0.38129,0.33476,0.2919,0.25311,0.21864,0.18863,0.16312,0.14212,0.1256,0.11353,0.10592,0.10278,0.10419,0.11023,0.12099,0.13657,0.15699,0.18219,0.21194,0.24579,0.283,0.3224,0.36256,0.40206,0.43974,0.47475,0.5065,0.53464,0.55901,0.57961,0.59656,0.61005,0.62032,0.62762,0.63222,0.63439,0.63435,0.63234,0.62858,0.6233,0.61671,0.60906,0.60056,0.59139,0.58174,0.57175,0.56154,0.5512,0.54078,0.53034,NaN,NaN,NaN,NaN,NaN
0,1.441,1.3587,1.2775,1.1986,1.1235,1.0533,0.98884,0.9306,0.87883,0.83353,0.79447,0.76129,0.73353,0.71066,0.69212,0.67734,0.66579,0.65694,0.65034,0.64555,0.64221,0.64001,0.63867,0.63797,0.63773,0.63782,0.63812,0.63855,0.63906,0.6396,0.64016,0.64072,0.64128,0.64185,0.64243,0.64305,0.64372,0.64446,0.64529,0.64625,0.64735,0.64861,0.65006,0.65172,0.6536,0.6557,0.65801,0.66051,0.66317,0.66596,0.66886,0.67182,0.67483,0.67785,NaN,NaN,NaN,NaN,NaN
0.0099997,1.4727,1.3879,1.3042,1.223,1.1456,1.0732,1.0068,0.94688,0.89368,0.84726,0.80744,0.77391,0.74627,0.72404,0.70673,0.69384,0.68489,0.67942,0.67698,0.67718,0.67963,0.68402,0.69002,0.69741,0.70594,0.71544,0.72574,0.73671,0.74824,0.76021,0.77252,0.78508,0.79779,0.81054,0.8232,0.83567,0.84779,0.85942,0.87043,0.88065,0.88996,0.89825,0.90545,0.91154,0.91659,0.9207,0.92401,0.92669,0.92891,0.93083,0.93257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.019997,1.7607,1.6723,1.585,1.5004,1.4201,1.3453,1.277,1.2158,1.1619,1.1155,1.0762,1.0438,1.0176,0.99719,0.98189,0.9711,0.96425,0.96076,0.96014,0.96194,0.96574,0.9712,0.97804,0.98601,0.99491,1.0046,1.0149,1.0257,1.0369,1.0485,1.0604,1.0724,1.0845,1.0966,1.1086,1.1203,1.1317,1.1426,1.1529,1.1625,1.1712,1.179,1.1858,1.1916,1.1966,1.201,1.205,1.2087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.029991,2.078,1.9851,1.8934,1.8046,1.7203,1.6418,1.5702,1.5061,1.4498,1.4014,1.3604,1.3266,1.2995,1.2784,1.2626,1.2517,1.2448,1.2414,1.2411,1.2433,1.2475,1.2535,1.2609,1.2695,1.279,1.2893,1.3002,1.3117,1.3237,1.336,1.3487,1.3616,1.3748,1.3882,1.4017,1.4154,1.4291,1.4428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.039979,2.4685,2.3653,2.2635,2.1649,2.0713,1.9843,1.9048,1.8337,1.7712,1.7174,1.672,1.6344,1.6043,1.5808,1.5632,1.5509,1.5431,1.5392,1.5385,1.5406,1.5449,1.5511,1.5587,1.5675,1.5773,1.5877,1.5987,1.6102,1.6219,1.6338,1.6459,1.658,1.6702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
