NaN,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30
-0.049958,-0.37476636,-0.445734144,-0.515875794,-0.584045183,-0.649064594,-0.709919357,-0.765833392,-0.816289589,-0.861014954,-0.899951344,-0.933217177,-0.96106861,-0.983861535,-1.002017917,-1.015996486,-1.02626862,-1.033299204,-1.0375322,-1.039380519,-1.039219287,-1.037382165,-1.034159823,-1.029800206,-1.024509976,-1.018456831,-1.011772214,-1.004554198,-0.996870359,-0.988760462,-0.980238876,-0.971296607,-0.961903085,-0.952007713,-0.941541253,-0.930417231,-0.918533646,-0.90577523,-0.892016571,-0.877126525,-0.860974042,-0.843435788,-0.824406023,-0.803809039,-0.781612964,-0.757833906,-0.732527789,-0.705778841,-0.677690119,-0.648378081,-0.617971928,-0.586617901,-0.554488335,-0.521793761,-0.488773738,NaN,NaN,NaN,NaN,NaN
-0.039979,-0.16971781,-0.234226091,-0.297974504,-0.359911045,-0.418956991,-0.474183916,-0.524882456,-0.570580084,-0.61102718,-0.646169805,-0.676114525,-0.701092715,-0.721425799,-0.737494488,-0.749712119,-0.758502794,-0.764284124,-0.767454345,-0.768383426,-0.767407463,-0.764825896,-0.760900361,-0.755854847,-0.749876949,-0.743120004,-0.73570572,-0.72772713,-0.719251559,-0.710323533,-0.700967562,-0.691190723,-0.680985062,-0.670329814,-0.659193549,-0.647536236,-0.635311371,-0.622468326,-0.608955158,-0.594722144,-0.579725944,-0.56393453,-0.547333125,-0.529931258,-0.51177002,-0.49292212,-0.473483141,-0.453559823,-0.433259306,-0.412680987,-0.391911024,-0.371019214,-0.350057956,-0.329063045,-0.308055693,NaN,NaN,NaN,NaN,NaN
-0.029991,0.058696947,-5.74E-05,-0.058118217,-0.114524288,-0.168290149,-0.218566602,-0.264704225,-0.306269758,-0.343033931,-0.374946824,-0.402106051,-0.424724267,-0.44309746,-0.457576637,-0.468543222,-0.476388678,-0.481498296,-0.484238939,-0.484950343,-0.483939276,-0.481476166,-0.477793646,-0.473086706,-0.467513835,-0.461198949,-0.454233812,-0.446680809,-0.438575844,-0.429931396,-0.420739683,-0.410975985,-0.400602172,-0.389570532,-0.377828115,-0.365321745,-0.352003763,-0.337838658,-0.322810975,-0.306933783,-0.290252152,-0.272839505,-0.254791088,-0.236218043,-0.217242627,-0.19799129,-0.178585202,-0.159131224,-0.139714873,-0.120395981,-0.101207187,-0.082155191,-0.063224619,-0.044384412,-0.025596565,NaN,NaN,NaN,NaN,NaN
-0.019997,0.28142241,0.231912681,0.18302434,0.135616138,0.090567055,0.0486349,0.010399755,-0.023750221,-0.053608395,-0.079127869,-0.10039377,-0.117594767,-0.130995567,-0.140912363,-0.147691647,-0.151692732,-0.153273894,-0.152781932,-0.150544797,-0.146866718,-0.142025386,-0.136270719,-0.129824781,-0.122882419,-0.115612281,-0.108157922,-0.100638716,-0.093150333,-0.085764662,-0.078529105,-0.071465153,-0.064566235,-0.057794959,-0.051079887,-0.044312051,-0.037341466,-0.029974029,-0.021969216,-0.013039212,-0.0028502,0.008973248,0.022839672,0.039177118,0.058413319,0.080948587,0.107120196,0.137157201,0.171124993,0.208858338,0.249882492,0.293385064,0.338471697,0.384386727,0.430625333,NaN,NaN,NaN,NaN,NaN
-0.0099997,0.483539812,0.438458406,0.393898442,0.350564981,0.309166023,0.270304345,0.23444046,0.201891461,0.172848661,0.147404204,0.12558112,0.107363215,0.092722649,0.081643559,0.074140808,0.070273188,0.070150234,0.07393183,0.081819971,0.094042016,0.11082462,0.13235761,0.158747156,0.189958279,0.225746078,0.26557499,0.308526611,0.35323736,0.398113068,0.441688478,0.482800553,0.520608532,0.554557069,0.584326468,0.609792147,0.630984404,0.648046853,0.661199926,0.670711373,0.676873797,0.679989778,0.680364309,0.678304257,0.674122925,0.668139016,0.660666974,0.652004916,0.642424264,0.632162827,0.621421074,0.610361041,0.599107466,0.587750533,0.576349447,NaN,NaN,NaN,NaN,NaN
0,1.434050074,1.357051022,1.281009672,1.207216001,1.136954985,1.071296816,1.011025449,0.95662811,0.908320633,0.86608669,0.829724273,0.798891233,0.773148244,0.751996081,0.734907218,0.721351301,0.710814848,0.702815517,0.696911634,0.692708001,0.689858432,0.688065871,0.687080625,0.686697415,0.686751519,0.687114507,0.687689794,0.688408208,0.689223788,0.690109906,0.691055748,0.692063152,0.693143845,0.694316943,0.69560675,0.697040765,0.698647718,0.700455098,0.702486311,0.704758,0.707277313,0.710038949,0.713022404,0.716196115,0.719527063,0.722985564,0.726546577,0.730189036,0.733894979,0.737648832,0.741436892,0.745247069,0.749069249,0.752895962,NaN,NaN,NaN,NaN,NaN
0.0099997,1.457639611,1.381263759,1.305893747,1.23288829,1.163608283,1.099195888,1.040496822,0.988048113,0.942104275,0.90267793,0.86958804,0.842507015,0.821005085,0.804588845,0.792733997,0.7849117,0.780608942,0.779343371,0.780673123,0.78420262,0.789584765,0.796520569,0.804756577,0.814080769,0.824317402,0.835321239,0.846971331,0.859164763,0.871810526,0.884823638,0.898119702,0.911610083,0.92519789,0.938774882,0.952219546,0.96539653,0.978157724,0.990345157,1.001796188,1.012351472,1.021866053,1.030223899,1.037356219,1.043261548,1.048011802,1.051739861,1.05461921,1.056842784,1.058604231,1.060081842,1.061424687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.019997,1.902493058,1.816672582,1.731985048,1.649949572,1.572080958,1.499644772,1.433575371,1.37446326,1.322584553,1.277946053,1.240339014,1.209391459,1.184617725,1.165461551,1.151332759,1.141636827,1.135797755,1.133274721,1.133573076,1.136250839,1.140921216,1.14725223,1.154963898,1.16382383,1.173641492,1.184261762,1.195557958,1.207424705,1.219770848,1.232512568,1.245566821,1.25884525,1.27224884,1.285663678,1.298958962,1.311987595,1.324589048,1.336594415,1.347834026,1.358148058,1.367400508,1.375496922,1.382406205,1.388183577,1.392973432,1.396986608,1.400466094,1.403650611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.029991,2.327596917,2.233691199,2.141040894,2.051318626,1.966187232,1.887031322,1.814869731,1.750342826,1.693745967,1.645079437,1.604107903,1.570418151,1.543473708,1.522662015,1.507334392,1.496838015,1.490540479,1.487847599,1.488215157,1.491155862,1.496242048,1.503105235,1.511433122,1.520964864,1.531485063,1.542817143,1.554816343,1.567362746,1.580354453,1.593701297,1.607319285,1.621125797,1.635035875,1.648959702,1.662801388,1.676459193,1.68982757,1.702801157,1.715280974,1.727183079,1.738449916,1.749064574,1.759068164,1.768576049,1.777765549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.039979,2.809551131,2.702863341,2.597605059,2.495673879,2.398952463,2.309004342,2.22697653,2.153586015,2.089158775,2.033686857,1.98689617,1.948311965,1.917320734,1.893223555,1.875281381,1.862751384,1.854914866,1.851097471,1.850682395,1.853118088,1.857921262,1.864676881,1.873035426,1.88270832,1.893461925,1.90511087,1.917510996,1.930552339,1.944152382,1.958249697,1.972798132,1.987761677,2.003110096,2.01881524,2.034848133,2.051176895,2.067765566,2.08457372,2.101557101,2.118669402,2.135865277,2.153104585,2.170358011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.049958,3.33296456,3.210289824,3.089259593,2.972054261,2.860835111,2.757394149,2.663043409,2.578599911,2.504431289,2.440521558,2.386549313,2.341962973,2.306052039,2.278008397,2.256978324,2.242104106,2.232555983,2.227555387,2.226390298,2.228424459,2.233101075,2.239942563,2.248547039,2.258582757,2.26978083,2.281927252,2.294854529,2.308433472,2.32256533,2.337174485,2.35220184,2.367599092,2.383324006,2.399336635,2.415596617,2.432061653,2.448687223,2.465427508,2.482237788,2.499078768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
