NaN,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30
-0.049958,-1.206939655,-1.310251112,-1.412398671,-1.511706309,-1.606435154,-1.695069405,-1.776440819,-1.849759926,-1.914601168,-1.970859992,-2.018699526,-2.058492637,-2.090766942,-2.116154103,-2.135346296,-2.149059443,-2.158003852,-2.162861217,-2.16426759,-2.162801266,-2.158974802,-2.153229948,-2.145934789,-2.13738227,-2.127789577,-2.117297751,-2.105971173,-2.093796807,-2.080683284,-2.066460087,-2.050876982,-2.033604368,-2.014235196,-1.992288623,-1.967215668,-1.938408922,-1.90521816,-1.86697354,-1.823017888,-1.772739869,-1.715580213,-1.651020011,-1.578574812,-1.497809096,-1.408375603,-1.310080872,-1.202977337,-1.087478834,-0.964429753,-0.835034598,-0.700734282,-0.563055801,-0.423402925,-0.282855337,NaN,NaN,NaN,NaN,NaN
-0.039979,-0.740936965,-0.834202605,-0.926403382,-1.016019565,-1.101475375,-1.181395495,-1.254717009,-1.320718078,-1.379004743,-1.429472416,-1.472257875,-1.507687097,-1.53622564,-1.558432926,-1.574923037,-1.586331665,-1.593289884,-1.596403774,-1.596239475,-1.593312944,-1.588083611,-1.580950756,-1.572252126,-1.562264123,-1.551202953,-1.539226247,-1.52643501,-1.512875405,-1.498540424,-1.483371456,-1.467259729,-1.450048023,-1.431533058,-1.411468857,-1.389571719,-1.365527575,-1.339002415,-1.309656483,-1.277162947,-1.241225081,-1.201572305,-1.157941353,-1.110058901,-1.057635681,-1.000375048,-0.937996943,-0.870277757,-0.797106248,-0.718555166,-0.634968732,-0.547052071,-0.455854597,-0.362565052,-0.268244861,NaN,NaN,NaN,NaN,NaN
-0.029991,-0.281191056,-0.364376741,-0.446610419,-0.526541421,-0.60277063,-0.674076992,-0.739516327,-0.798446805,-0.850517018,-0.895631717,-0.933908835,-0.965632826,-0.991210124,-1.011128057,-1.025919401,-1.036132159,-1.042305219,-1.044949264,-1.044532457,-1.041470682,-1.036121664,-1.028782176,-1.019687733,-1.009014384,-0.996882258,-0.983360541,-0.968473937,-0.952210474,-0.934530545,-0.915377497,-0.894690071,-0.872416612,-0.848528228,-0.823022815,-0.795922038,-0.767267716,-0.737120561,-0.705561821,-0.672697541,-0.638661244,-0.603604169,-0.567677066,-0.531012244,-0.493710599,-0.455834437,-0.417406182,-0.378412562,-0.338813808,-0.298557483,-0.257597109,-0.215915974,-0.173556139,-0.130649972,-0.087419567,NaN,NaN,NaN,NaN,NaN
-0.019997,0.233496927,0.171024751,0.109331344,0.049503219,-0.007343943,-0.060243533,-0.108452725,-0.151470662,-0.18902725,-0.221055313,-0.247655806,-0.269060898,-0.285598922,-0.297662546,-0.3056815,-0.310099927,-0.311358483,-0.309880609,-0.306062621,-0.30026746,-0.292821339,-0.28401261,-0.274092355,-0.263276228,-0.251747194,-0.239658759,-0.227138399,-0.214291188,-0.201203377,-0.187945684,-0.174576475,-0.161144626,-0.147691986,-0.134255556,-0.120869393,-0.107566245,-0.094378878,-0.081341273,-0.068489675,-0.055862586,-0.043497963,-0.031428861,-0.019679292,-0.00826119,0.002827351,0.0136026,0.024094541,0.034345022,0.044404826,0.054329576,0.064174217,0.073986045,0.083797415,0.093621426,NaN,NaN,NaN,NaN,NaN
-0.0099997,0.581901318,0.527343539,0.47340344,0.420908099,0.370674144,0.323378006,0.279511914,0.239383875,0.203140845,0.170803846,0.14230814,0.117544369,0.096398164,0.078786735,0.064691343,0.054184899,0.047454098,0.044815643,0.046725283,0.053778052,0.066698253,0.086317626,0.11353962,0.149287452,0.194433491,0.249707601,0.315583002,0.392139103,0.47889864,0.57463779,0.677170623,0.783215547,0.888923277,0.990670129,1.085471218,1.171083552,1.245974664,1.309244963,1.360556167,1.400080179,1.428411077,1.446451169,1.455299051,1.456154239,1.450240593,1.438748107,1.422791103,1.403380102,1.381403983,1.357620456,1.332653358,1.306994907,1.281011365,NaN,NaN,NaN,NaN,NaN,NaN
0,2.799456796,2.675904094,2.553869459,2.435456059,2.322767921,2.217570991,2.121165695,2.034371424,1.957563206,1.890737048,1.833583826,1.785564784,1.745980603,1.714032769,1.688874559,1.669652334,1.65553685,1.645745872,1.639558914,1.636325232,1.635466133,1.636472946,1.638901541,1.642364474,1.646521551,1.651069624,1.655732217,1.660249577,1.664369677,1.667840743,1.670405733,1.671799405,1.67174857,1.669976089,1.666209244,1.660193089,1.651709419,1.640602023,1.62680846,1.610388312,1.591518213,1.570460238,1.547524235,1.523035842,1.497312435,1.470646481,1.443295267,1.415475757,1.387362418,1.359087726,1.330745217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0099997,2.888674039,2.75971829,2.632347763,2.50875048,2.391106347,2.281237547,2.180479007,2.089664262,2.009165268,1.938962236,1.878722164,1.827878944,1.785706726,1.751385009,1.724052673,1.702852023,1.68696257,1.675625891,1.668162145,1.663979564,1.66257771,1.663545716,1.66655622,1.671355789,1.677752229,1.685599315,1.694779133,1.705182221,1.716685721,1.729129778,1.742293337,1.755880108,1.769524946,1.78281227,1.795299175,1.806542091,1.816127894,1.823710796,1.829056118,1.832079576,1.832847938,1.831547559,1.828443592,1.823843397,1.818067042,1.811424577,1.804199067,1.796633919,1.788922294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.019997,3.43600448,3.29993185,3.165613779,3.03549155,2.912014369,2.797248186,2.69272822,2.59944022,2.517861379,2.448034545,2.389651967,2.342140739,2.30474099,2.276575659,2.256708525,2.244191269,2.238099055,2.237556291,2.241753362,2.249955498,2.26150496,2.275818111,2.292378326,2.310725897,2.33044608,2.351156292,2.372493205,2.394100619,2.415618809,2.436675994,2.456882747,2.475830138,2.493092675,2.508236955,2.520837002,2.530497269,2.536884421,2.539768798,2.539075885,2.534931744,2.527655366,2.517707345,2.505626335,2.491971365,2.477273483,2.461995997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.029991,4.250193289,4.102113057,3.955935984,3.814313799,3.679904095,3.554944979,3.4410958,3.339417846,3.250419419,3.174136982,3.110226491,3.058056933,3.016795893,2.98548578,2.963106985,2.948628761,2.941047428,2.939413988,2.942851979,2.950566824,2.961847954,2.976065468,2.992662435,3.011144086,3.031064857,3.052014352,3.073603004,3.095448276,3.117162369,3.1383423,3.158563713,3.177380825,3.194332855,3.208956962,3.22080879,3.229491656,3.234695509,3.236246559,3.23416767,3.228728733,3.220427136,3.209910561,3.197881803,3.185008292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.039979,5.1335195,4.966851658,4.802441678,4.643316393,4.492474797,4.352422555,4.225001438,4.111374174,4.01207905,3.927123904,3.856090364,3.798240035,3.752610988,3.718103393,3.693550214,3.677774295,3.669631283,3.668040717,3.672006002,3.680624891,3.693091875,3.708694623,3.726805878,3.746872411,3.768402134,3.79095052,3.814107114,3.837483144,3.860701004,3.883386644,3.905165753,3.925664444,3.944515297,3.961369538,3.975916352,3.987910218,3.997206945,4.003808971,4.007919853,4.009982804,4.01062298,4.010512891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.049958,4.572617665,4.567574922,4.561764616,4.555292689,4.548265085,4.540787745,4.532966614,4.524907633,4.516716748,4.50850013,4.500394875,4.492640857,4.485548123,4.479446294,4.474649604,4.471436079,4.470035383,4.470624118,4.473325461,4.478212062,4.485310629,4.494607667,4.506055166,4.519576005,4.535068546,4.552410575,4.571462502,4.592069949,4.614065657,4.637271195,4.661499462,4.68655846,4.712256189,4.738406574,4.764837035,4.791398231,4.817976341,4.844508067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
